t_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,energy_J,status
1850.0,99999977289.17413,55499995.79834229,0.0,-24.5522440081201,29999.993186500866,0.0,-877172568.7866373,ok
1860.0,99999977042.98811,55799995.729838334,0.0,-24.68495883990186,29999.993112642333,0.0,-877172568.7866375,ok
1870.0,99999976795.47495,56099995.66059381,0.0,-24.81767367167239,29999.993038385637,0.0,-877172568.7866371,ok
1880.0,99999976546.63463,56399995.59060472,0.0,-24.95038850343163,29999.992963730783,0.0,-877172568.7866377,ok
1890.0,99999976296.46716,56699995.5198671,0.0,-25.083103335179512,29999.99288867777,0.0,-877172568.7866377,ok
1900.0,99999976044.97255,56999995.44837695,0.0,-25.21581816691598,29999.9928132266,0.0,-877172568.7866375,ok
1910.0,99999975792.15079,57299995.376130305,0.0,-25.348532998640977,29999.992737377266,0.0,-877172568.7866378,ok
1920.0,99999975538.00188,57599995.30312317,0.0,-25.481247830354437,29999.992661129774,0.0,-877172568.7866377,ok
1930.0,99999975282.52582,57899995.22935157,0.0,-25.613962662056302,29999.992584484124,0.0,-877172568.786638,ok
1940.0,99999975025.72261,58199995.154811524,0.0,-25.74667749374651,29999.992507440315,0.0,-877172568.7866379,ok
1950.0,99999974767.59225,58499995.07949905,0.0,-25.879392325425005,29999.992429998347,0.0,-877172568.7866383,ok
1960.0,99999974508.13475,58799995.00341017,0.0,-26.012107157091723,29999.992352158217,0.0,-877172568.7866383,ok
1970.0,99999974247.3501,59099994.92654089,0.0,-26.144821988746603,29999.99227391993,0.0,-877172568.7866383,ok
1980.0,99999973985.2383,59399994.848887235,0.0,-26.277536820389585,29999.99219528348,0.0,-877172568.7866384,ok
1990.0,99999973721.79935,59699994.77044523,0.0,-26.410251652020612,29999.992116248875,0.0,-877172568.7866385,ok
2000.0,99999973457.03325,59999994.69121088,0.0,-26.54296648363962,29999.99203681611,0.0,-877172568.7866384,ok
2010.0,99999973190.94,60299994.611180216,0.0,-26.67568131524655,29999.991956985185,0.0,-877172568.7866385,ok
2020.0,99999972923.5196,60599994.530349255,0.0,-26.80839614684134,29999.9918767561,0.0,-877172568.7866387,ok
2030.0,99999972654.77208,60899994.44871401,0.0,-26.941110978423932,29999.991796128856,0.0,-877172568.7866385,ok
2040.0,99999972384.6974,61199994.366270505,0.0,-27.073825809994265,29999.991715103453,0.0,-877172568.7866387,ok
2050.0,99999972113.29558,61499994.28301475,0.0,-27.206540641552277,29999.991633679892,0.0,-877172568.7866383,ok
2060.0,99999971840.5666,61799994.19894277,0.0,-27.339255473097907,29999.99155185817,0.0,-877172568.7866384,ok
2070.0,99999971566.51048,62099994.11405059,0.0,-27.4719703046311,29999.991469638288,0.0,-877172568.7866384,ok
2080.0,99999971291.12721,62399994.028334215,0.0,-27.60468513615179,29999.991387020247,0.0,-877172568.7866383,ok
2090.0,99999971014.4168,62699993.94178967,0.0,-27.73739996765992,29999.99130400405,0.0,-877172568.786638,ok
2100.0,99999970736.37923,62999993.85441297,0.0,-27.870114799155424,29999.991220589687,0.0,-877172568.7866379,ok
